Transaction_ID,Sender_account,Receiver_account,Amount,Sender_bank_location,Receiver_bank_location,Device_MAC,Timestamp,Is_fraud
532fabc9-c9e,c4ebebe0,8468a86f,4462.74148,Australia,UK,73:d7:83:4d:aa:e5,1/13/2025 18:08,0
6547fa11-8d0,a5d1d4ca,cc3d2cdb,3960.064902,UK,Russia,75:9f:96:ea:6e:04,2/7/2025 18:44,0
60686a88-0da,1a3eae60,e98f6521,1915.218374,Germany,Russia,d5:30:46:f9:7d:66,1/3/2025 12:32,0
115bb9ca-799,00a056e5,7ac78a03,2722.841343,UK,UK,b1:cd:9f:f9:0b:80,3/17/2025 4:42,0
8161ef57-8b9,e2393f88,68490b2c,692.1526236,USA,USA,2f:4b:dd:51:70:e6,2/1/2025 20:30,0
1cc1082c-426,242c4f57,86bac4ba,4290.021928,Germany,Canada,c3:a6:9c:0e:ee:2d,2/27/2025 12:25,0
ad73cab6-981,50f4831f,8c052fe1,1109.015866,Germany,Nigeria,b6:9a:4f:5f:6c:88,2/24/2025 4:37,0
f1e1eaf1-0aa,f2ddcba1,7897f7db,844.0071277,UK,Germany,77:eb:46:06:68:d9,2/28/2025 23:55,0
0ff9e771-0c1,515e5a8e,d79e40ae,4997.824922,Russia,Canada,43:a8:2e:2b:ad:c1,1/11/2025 16:52,0
82c6234b-d57,06fa3e91,a060c77d,1279.093814,Nigeria,USA,fe:57:7f:c7:6c:ae,3/19/2025 14:33,0
f577a7dc-dfa,e4add535,255f19a6,2232.609704,UK,USA,53:22:cb:c9:73:4d,2/2/2025 13:33,0
aa25a4c8-5ba,a0b02dc3,7b6f8283,4008.091174,UK,Canada,3f:c4:d9:84:01:4e,3/17/2025 8:55,0
00d31da5-8f3,49d95776,dbb2e6b0,795.1176071,UK,Canada,e6:70:c7:c9:f4:82,2/2/2025 18:47,0
fddecbcc-3c3,0cda476c,ee542d9e,11522.89188,Russia,UAE,eb:dd:da:92:38:c7,2/4/2025 18:52,1
5c174e25-dab,cbe39a44,dce3811c,914.8176275,Nigeria,UK,40:3d:c7:b2:a2:91,3/17/2025 23:24,0
ba67381a-478,c2e8706b,f716d1a9,243.0500739,Canada,UAE,23:a0:d8:4c:fa:a9,3/2/2025 20:15,0
a3500d97-de3,09163d5e,4d5ef85c,2819.393063,UK,Canada,b8:f3:f1:e1:01:b5,3/11/2025 2:27,0
4bb8b6fb-39a,8463f2f0,6aab0185,4120.491929,Canada,Germany,5f:90:22:b4:e4:8e,2/22/2025 22:51,0
fd7fad25-0ed,655d94fa,f2533940,2097.739458,North Korea,Nigeria,3b:36:16:a8:3e:d2,3/11/2025 23:14,0
ee710646-a0d,08baa18d,7338eb99,3651.554449,USA,Australia,0a:b9:12:e0:2e:9a,1/4/2025 5:55,0
6634d62d-5e3,904ea86d,0750d3f1,4427.068396,Canada,Germany,f2:f8:27:9e:93:8e,2/10/2025 17:50,0
c4d6b35f-4a3,1bf1156e,ba1edb68,4994.428997,Australia,USA,ef:1d:83:72:aa:dd,1/7/2025 3:20,0
f38e570a-f89,8a648a7d,7e64050b,3486.955581,Nigeria,Nigeria,dd:b5:98:14:d2:12,3/5/2025 19:45,0
ae50f376-b6b,ad21ec3f,1be8ff44,3048.937456,Nigeria,USA,5f:ef:e7:ce:ca:55,3/9/2025 15:49,0
6bf1859c-378,96daecad,98194a84,413.005431,Germany,USA,10:65:39:d4:1b:04,2/7/2025 15:46,0
47e220e7-d82,39983184,27684068,3221.69469,UK,USA,e1:e0:c3:a7:b5:b1,1/25/2025 12:10,0
7dedadd6-d86,9f2ef504,03ebfa0e,2401.670363,Pakistan,USA,4a:21:e9:76:7e:48,2/12/2025 12:49,0
a9cac115-e86,2e4c36cb,b9b62df8,3819.669242,Canada,UK,bd:57:e6:34:1e:19,1/15/2025 1:38,0
63426a7a-127,a50f3114,3abbde36,853.4264256,Canada,Nigeria,7b:3b:dd:ee:0a:27,2/16/2025 6:42,0
18cb226f-530,0d7c5bfd,0d56c89e,4559.998079,USA,Germany,67:d5:c4:6e:c1:4e,1/30/2025 11:12,0
c4bbf4d7-8be,f8ebab0c,df9d4e3b,2273.024123,Nigeria,USA,1c:61:fb:c1:30:4b,1/19/2025 4:40,0
441dd634-1d4,f657ff98,e9f20aa2,2784.215677,Nigeria,UK,9c:d1:86:04:d8:b0,2/13/2025 23:49,0
839fbe4a-97d,2416b626,b186d6eb,4348.159324,Pakistan,Germany,4f:6d:14:67:54:60,1/16/2025 10:09,0
ac97f1ec-530,b4e564fe,9ac5974d,538.9490916,North Korea,Canada,53:5d:45:79:55:e5,1/3/2025 12:33,0
c1c3632b-87b,652a524f,5f8d281f,1418.428131,Pakistan,USA,0a:fd:7f:dd:09:7c,2/12/2025 7:02,0
40eda3b0-32d,e14aeae4,6cd80a5e,3408.723214,UK,USA,dd:11:05:80:d0:88,2/25/2025 14:48,0
ab808d06-d9d,2ce34eaf,ce3d8187,2169.987775,UK,Canada,0d:96:25:3c:c7:2f,1/3/2025 10:05,0
89ec365c-515,2421e88c,c410d846,3992.147788,USA,USA,71:21:87:fb:bc:b3,3/15/2025 18:14,0
dd02732e-564,fda2c46a,35e29d7a,843.8156127,Canada,UK,dd:2d:85:5f:91:c8,1/11/2025 21:23,0
da071c77-fea,af2c7e85,e6221b5c,4189.071908,Nigeria,UK,c5:07:a2:61:e8:41,3/5/2025 17:22,0
38498814-bee,b9c9c632,9eee743d,4274.019623,Germany,UK,ca:6a:d5:9b:40:6c,1/9/2025 11:46,0
db0e0f0f-c44,3853f9c2,47cb0211,20550.53756,UAE,Pakistan,58:1b:1b:27:eb:15,2/5/2025 6:12,1
76f332ec-5af,961e3273,9803966,1866.028566,UK,USA,f8:ec:5f:fd:90:8c,2/2/2025 11:57,0
40b0d7f3-51c,102a8e5c,f716200b,528.3971335,Germany,UK,fc:e5:9a:ff:60:d3,3/13/2025 17:35,0
b8e44ddf-736,07fe6105,a3d873cc,1887.511606,Canada,Russia,bd:d7:7c:9c:36:6c,3/2/2025 22:58,0
5ee2625e-d83,97d3a7c5,b60f1b35,1265.180406,Russia,UAE,d5:8d:98:c4:cf:5a,1/10/2025 9:05,0
d75e02ae-952,5636cac7,807c1e32,2925.152523,UAE,UK,5e:a0:ba:4f:c6:fb,2/18/2025 2:15,0
192a9c1d-7eb,151f9b02,061a1e40,2659.521095,UK,Nigeria,70:0a:eb:70:4b:e4,1/15/2025 5:00,0
d11e5cb3-778,502f900e,fc30e4a6,1413.585693,Canada,UK,93:63:44:e2:61:a6,1/21/2025 11:18,0
5a18b2b3-891,8f7c0054,c4ebebe0,673.6147284,Canada,Germany,bb:80:3c:af:9c:16,1/29/2025 17:56,0
c4987ad6-738,045fc665,42b4826c,4132.512033,Pakistan,Australia,df:95:8f:fb:f8:ff,2/12/2025 5:22,0
3977eb6a-be7,86c960d7,1396b5ff,1172.628224,Germany,North Korea,d1:d5:e2:c8:0b:37,1/20/2025 5:41,0
64d94bc0-88f,836386,576c378c,18594.82895,Russia,North Korea,ca:da:e5:6e:a0:b0,3/11/2025 13:24,1
9d0c0c48-189,e98f6521,f7a4d989,2510.034635,Russia,Germany,3c:0d:90:70:0a:1f,2/16/2025 12:51,0
78ee7ce8-ec8,a4b12211,6791fc38,4009.543587,Russia,UK,6c:f6:e5:9d:c8:64,2/8/2025 23:20,0
9be09ce6-4c3,7ac78a03,cbe4f730,1716.172477,UK,Germany,ba:00:1f:0f:d3:18,3/19/2025 18:11,0
8322bef6-97a,6f99472f,ea15c4ce,110.8967874,Germany,UAE,30:f7:57:84:18:ee,2/9/2025 15:21,0
e8fee058-3d0,a55664e3,d91341dd,1435.406408,Australia,Pakistan,6b:04:f3:09:21:76,3/10/2025 15:36,0
aa5d41d6-2e4,ea00f5f0,196b265b,630.5388514,USA,Australia,ad:bd:09:3e:45:b1,3/1/2025 18:31,0
2daffd62-328,1f3134db,ef1ef597,1607.20327,Nigeria,Nigeria,7f:f8:51:81:31:a1,2/14/2025 6:18,0
f18a8d32-9fd,fe937acb,8a740447,2851.993833,Canada,UK,42:12:76:4e:69:1a,2/11/2025 17:10,0
3e6f2a92-9a5,14221ec8,eb4e5ffd,1498.030525,North Korea,Canada,dd:01:0d:88:d4:bd,2/16/2025 23:01,0
081852dd-51d,49dd8ec4,3e526a5a,1966.064047,Nigeria,Russia,00:33:82:f2:2d:8f,2/12/2025 23:49,0
ebac0264-294,56fd822e,4b1bd16c,2260.427497,Canada,Australia,ad:13:3e:6b:62:26,2/15/2025 11:19,0
4474cbd2-854,d78e94e6,63c11313,3327.09142,UAE,Germany,9a:80:05:99:01:13,1/26/2025 1:33,0
6ec7598f-21f,596c5a98,5e7abb47,1197.312962,Russia,Pakistan,d2:45:8b:fb:4f:ea,2/12/2025 5:18,0
4d5c8922-add,36d79882,ce36d9f3,2450.783073,UK,Germany,b7:55:b2:f8:27:cb,1/22/2025 8:26,0
49b1ac35-253,166a3745,5265276b,2980.997563,Canada,Nigeria,cd:83:96:41:17:7e,3/1/2025 0:59,0
76132b70-009,daed0682,6a336184,164.0185756,USA,Germany,06:af:10:b2:aa:04,1/25/2025 2:25,0
66cd0864-7b6,9e95bdae,f2b34363,1148.413189,UK,UK,00:99:7c:81:d0:55,2/6/2025 6:16,0
8809bd2f-25f,7e37c2de,57de245b,494.1229761,Pakistan,Canada,ff:91:43:02:66:c8,1/28/2025 3:37,0
4d85a99e-87b,ae2aabb3,b68cfc7d,4344.070511,Canada,USA,73:08:07:5f:cd:8c,3/11/2025 0:13,0
c5809bca-563,8e5c7a70,5c2a8439,3219.813905,Australia,UK,95:11:4d:cf:8a:09,3/20/2025 5:42,0
92b23676-f26,66a8af89,d99bc183,4240.70566,USA,USA,b8:c7:7d:f1:e2:10,2/26/2025 18:42,0
2105dec5-4be,72ed07fd,265be72e,1174.030901,USA,Germany,19:3d:3e:ea:67:3d,1/18/2025 14:37,0
69c47065-cec,5666bb1d,96ecb5ba,367.9613955,Pakistan,USA,ba:42:1c:a9:2d:aa,1/28/2025 22:10,0
5d8756a7-069,e5273f1b,cafb116e,4011.367676,North Korea,Pakistan,c4:8a:7a:8f:41:d6,1/1/2025 5:50,0
225b9079-5e0,f4a94bdf,54af72a5,1387.776006,Canada,Canada,bb:c1:6e:6b:ca:d9,2/13/2025 2:42,0
598c09cb-223,c93ed15a,61b1fadc,2177.623352,Russia,UK,bd:dc:e8:c9:77:35,2/19/2025 1:14,0
e33dd1ca-0c3,b53297ce,5fb5a03e,4701.203627,Canada,UK,3d:31:66:5a:0b:7f,2/23/2025 12:01,0
85157fa2-9b8,daaee27b,83e8f8f1,1373.085342,Canada,Australia,e0:68:78:d5:f4:27,3/2/2025 12:25,0
40a1d7b0-09c,8fee2e7e,1c8d1e34,4333.680882,UK,Pakistan,ce:ec:2b:39:81:03,1/27/2025 14:50,0
4646ea1f-473,1056fb05,81860981,314.902103,Canada,UK,11:37:20:aa:6b:3a,1/21/2025 18:43,0
d2f949d3-508,ecb0bd07,4c4ef213,2148.010445,Nigeria,Canada,69:e5:fc:ae:54:ec,2/6/2025 13:35,0
0e0528d6-251,9d74321d,60989108,4801.879627,Canada,Canada,df:66:db:f9:83:aa,2/1/2025 9:48,0
9876a6d5-256,81aee659,816b6308,270.9283588,Nigeria,Pakistan,37:6b:5c:b7:4e:75,2/15/2025 13:27,0
633215c1-aa5,8f0e0897,d4b2e165,3785.733694,Germany,USA,57:fa:20:a1:65:0f,1/8/2025 23:00,0
e12174e2-f8a,bed710d9,cb687462,3536.096703,UK,USA,eb:3d:3d:be:15:fd,1/8/2025 8:09,0
c7df483f-e70,35343481,687a4112,2620.718151,USA,USA,f0:43:54:46:9a:71,1/5/2025 19:57,0
75071c6a-782,3843b253,9af5ffaf,4248.106416,Nigeria,Germany,8b:03:f2:9c:9a:6c,2/23/2025 10:42,0
4a372464-b09,d18767f4,e898b129,3401.147882,USA,USA,d8:98:e9:22:1b:bf,2/28/2025 9:24,0
23ca7723-50d,b1ac5aa4,9d8339d5,4528.086615,Nigeria,USA,69:17:32:47:d4:0b,1/25/2025 4:29,0
1c8a6f6a-e49,8.10E+14,acb0512a,928.7980428,USA,North Korea,9a:d7:79:3b:d1:83,1/1/2025 10:04,0
22142e37-815,d6531d35,87d2c94c,6422.435355,Russia,UAE,ce:79:10:8b:31:be,2/4/2025 8:30,1
e5a40d3f-29d,59b1d253,be877e75,3718.836385,North Korea,Australia,a4:22:45:5a:f4:ae,2/25/2025 22:19,0
bb545903-d08,e5334166,6677240,710.6205705,UK,USA,06:19:c9:4d:53:b6,2/17/2025 6:51,0
c09c0132-bcc,f72b5d48,11fa6a37,3524.277472,UK,UK,bd:06:16:e9:46:a2,3/10/2025 19:39,0
7adeab2d-85e,f5501635,be9cdaf1,2221.398153,North Korea,Germany,7c:fd:1d:3d:31:6a,2/1/2025 17:34,0
f5f27b3c-1c9,4aa684c7,ce36d9f3,1029.913199,Nigeria,USA,78:cd:0e:4c:c0:5e,2/22/2025 11:36,0
d2211229-2b0,e85c5f38,64ac52e0,8838.052582,North Korea,North Korea,04:01:44:92:03:7a,3/18/2025 20:52,1
b40da8d5-6a1,0ddaa063,d2f1ae22,1047.045715,Canada,Germany,6a:b6:fe:01:dc:51,1/16/2025 0:04,0
a2323c51-150,c88247d7,aee3c7fc,2429.078056,Canada,UK,67:e8:90:67:39:39,1/7/2025 9:39,0
a95e7e6b-4a7,df0b9dca,f5f89bdc,1426.181332,Nigeria,Canada,d3:36:c6:30:4e:06,1/28/2025 4:47,0
3eb0c157-d9d,08baa18d,29aaa3b4,1512.980428,UK,Germany,11:d7:ae:69:98:5f,2/14/2025 20:26,0
f4402bd7-045,b5a56ad0,1656c5d0,1665.868502,Germany,Nigeria,bc:07:a9:5c:38:e7,3/20/2025 10:46,0
4e77d0cb-f07,55c8b4b3,846935d1,1674.49968,Germany,North Korea,9d:68:84:48:ee:bf,2/19/2025 22:14,0
bfdcf7ed-a83,ef10c07e,a59aa3ce,1715.25526,UK,USA,56:41:d7:fd:90:89,1/30/2025 3:49,0
ffce4558-a54,e9034e8a,d8ebdd00,4923.103769,UK,USA,23:a8:df:e0:22:77,1/12/2025 14:17,0
462ae8f7-b44,3fd41f47,22e775fd,4411.329512,Canada,Nigeria,26:1f:d0:d4:80:16,1/29/2025 19:29,0
0d28e57a-db9,d300d51c,6228c0bb,2442.970178,Germany,Germany,37:78:0b:43:de:49,3/11/2025 19:46,0
81fe41f5-20a,e99295f8,ac69bc05,249.4296451,Canada,North Korea,5a:66:dc:f4:c8:b9,2/23/2025 19:54,0
1753634d-f95,17823f22,85dd67d3,2751.987705,Australia,Germany,be:f4:1a:55:e7:95,1/11/2025 2:15,0
c2af404f-a25,4c9ff2f4,43f3149a,3031.526965,Canada,UK,92:29:90:63:2a:3a,3/1/2025 2:49,0
48b0a393-4a6,f7c29f01,1fb08eae,711.2767648,USA,UK,87:59:a3:f7:40:93,3/5/2025 5:32,0
051acdc5-469,f14787b6,1aa95441,581.1789414,Nigeria,Canada,a5:00:b7:ee:42:c1,2/6/2025 17:56,0
c242008c-600,b87884ee,be9eca03,14341.69193,Nigeria,Pakistan,e7:10:31:a4:c9:6a,3/9/2025 13:21,1
35bf288a-ba8,e45116ef,e771d27a,4234.337573,Canada,UK,39:fe:a9:71:0c:07,3/13/2025 11:31,0
87461554-ac7,a80e59ba,5b4fc7f7,3385.50848,UK,USA,78:96:42:91:59:d4,2/8/2025 16:52,0
af4b8f1a-130,323d414d,4935402f,3241.596891,USA,Pakistan,50:83:44:0d:fc:95,2/18/2025 11:09,0
a2c783ca-460,51df479a,c8c8a98e,1611.619707,UK,USA,05:f1:fe:74:5b:0a,1/6/2025 18:10,0
53fd9a42-391,7205eee8,ef10c07e,4534.442523,USA,UK,18:d3:3d:38:75:0c,2/16/2025 4:01,0
e3c86d2d-d7e,956e3db3,3978d0ba,4157.372201,Germany,Canada,86:3e:e8:b2:b7:8b,3/21/2025 0:46,0
ecfd70f4-7bd,ed1bde4b,41582647,3685.769025,Germany,UK,84:4a:f9:bd:47:39,2/6/2025 6:53,0
2572c51e-0dd,b9a61021,1325decd,1430.774989,UK,Nigeria,08:e0:b4:8a:fa:d1,3/9/2025 3:49,0
b79c32ca-002,23177488,8c04d89a,166.8699135,North Korea,Canada,4b:74:ae:6e:23:4d,2/3/2025 20:30,0
ee38db41-779,337d6c6f,f37962e6,868.5716991,Nigeria,UAE,fe:99:8e:45:06:bc,2/24/2025 2:42,0
5b29e46b-d7f,6.56E+10,dd317813,4058.003522,UK,UK,c3:d4:4f:7e:f8:48,1/15/2025 13:26,0
f5dd1016-f15,9561632b,c085875b,4793.855278,USA,UK,21:d8:47:72:23:b8,1/14/2025 11:09,0
d3f5261f-4f2,d8927ce0,e7531726,406.8119403,Canada,USA,c3:fe:6d:db:31:e9,3/12/2025 5:34,0
7ad7bb48-2f6,be88913c,2c6f27bb,3318.390441,UK,Nigeria,de:82:77:7a:7e:1a,1/16/2025 0:28,0
2934b081-ed7,fc7a663c,fbee1c3e,2826.732849,Canada,UK,94:cc:67:d0:80:51,2/13/2025 19:52,0
ed0bb70c-b4b,1628dd06,d3243c9a,166.393178,Germany,Canada,4d:e7:33:db:f3:37,1/6/2025 17:31,0
ac2d41ab-e19,258337a3,269386cc,4095.512487,UK,Germany,ca:32:ab:4c:31:96,2/15/2025 16:34,0
cf55f3ed-d95,6b8b83ce,0930b832,217.9341628,Canada,UK,3e:90:f7:42:e7:06,1/26/2025 18:04,0
3311f03f-2ad,8d752782,fbfc0adc,2070.441822,Canada,Nigeria,63:d5:6c:de:71:c7,1/24/2025 8:50,0
45c91f37-ef6,d79e40ae,f5cb5c2a,3998.1384,USA,UK,bc:28:8b:b7:ae:41,2/28/2025 7:59,0
55ed1941-292,fe19ed8c,f7f190f7,3446.064276,UAE,Germany,2c:cf:8c:7f:f4:85,2/7/2025 21:23,0
fb16e09c-110,b50dd7f7,ccc71b2e,4735.757816,Nigeria,UK,2a:3a:08:ae:3a:7e,1/1/2025 19:09,0
b16829d4-135,3b13cacd,645ff504,353.2572416,UK,Canada,70:29:16:10:d9:ab,2/6/2025 22:55,0
646103db-998,bde7e802,4eb6b7ed,3317.199104,Pakistan,Australia,97:93:18:ca:a2:af,2/24/2025 7:24,0
ee36bd72-0e9,87d54858,e8ea5805,1594.610279,Russia,USA,e9:a6:8e:1e:23:0b,2/28/2025 13:24,0
120fab01-a3e,63448867,099b08fa,1967.31869,Australia,Canada,99:f2:81:09:76:73,1/4/2025 12:13,0
85e9629c-851,7b0a3574,82218790,198.1105829,Nigeria,UK,5c:bc:f8:da:59:d9,3/22/2025 0:01,0
6ee95704-71d,deada1f7,49889067,1707.407806,Russia,Canada,e8:7d:75:3a:b6:75,1/8/2025 7:07,0
f252627c-389,cd20e820,b7e49bf3,578.6422772,UK,UK,ce:f7:62:ea:89:ca,1/11/2025 16:36,0
70c06810-525,efcc6c1a,18bbdb7f,4766.083352,North Korea,USA,6c:54:3d:ab:74:8f,1/14/2025 15:37,0
850793c1-89e,48ad19e8,11fa6a37,2588.708187,USA,USA,e6:28:95:38:67:8e,2/7/2025 7:49,0
8ae51df4-de9,efcc6c1a,de6cf9aa,2955.360374,North Korea,Canada,b0:e7:29:c6:83:00,2/23/2025 20:51,0
c2881594-dff,6169b0c1,ef23fa17,3392.627508,Russia,Canada,a6:76:e3:f5:ef:53,1/27/2025 1:35,0
3e79ac9e-bcb,a084649c,afc5fe1a,2280.247903,Germany,Canada,14:f9:4f:e4:65:c8,1/13/2025 10:31,0
4fb18b44-828,d564435e,1ef92e22,4014.188253,Australia,North Korea,36:38:c9:53:81:94,1/16/2025 11:12,0
1c9bf9ed-dbf,28bfe1b4,dd7d0f3b,4653.071882,Germany,Nigeria,42:b6:3d:e4:fe:65,2/25/2025 8:25,0
a28cf757-7cd,b6bc7649,23177488,3022.854368,Germany,North Korea,44:3c:2e:c5:43:4d,2/3/2025 18:23,0
57982471-744,b72e6bf6,467d34a6,899.0503262,Nigeria,North Korea,7f:0d:a8:7b:8d:23,1/16/2025 5:24,0
594dab1f-88a,df6d3ed3,85a464a5,3924.463819,UK,Russia,a7:ff:9d:ad:56:2f,1/4/2025 21:18,0
38c90082-82a,0e87bdb7,a0188377,1137.20376,Canada,Nigeria,a0:e5:2c:a1:c3:34,1/7/2025 7:23,0
04c1c62a-a9c,49e521a6,660481f0,439.4748802,UK,Pakistan,e4:42:2c:74:11:80,2/22/2025 8:31,0
39b7ffe6-dd8,a466925a,2ec8283b,4105.845689,Canada,Russia,80:29:c8:9f:00:b2,3/11/2025 16:04,0
822f4a6c-c86,37a04be2,8dfd9cd5,3589.772525,Pakistan,UAE,28:c8:d1:b1:81:4f,1/14/2025 11:18,0
9cf44251-b5f,17cfe9d0,8618dbff,2656.684156,UAE,Pakistan,4e:12:06:42:84:1e,1/3/2025 7:25,0
b5d36e77-a4f,a7f7b235,8726dd4e,2436.451171,Russia,USA,5e:18:44:85:60:c1,2/6/2025 22:18,0
b090194c-c82,9a57a2cc,ef556768,1839.028741,UK,Canada,69:29:44:9f:e2:51,2/2/2025 3:52,0
8530e30e-af0,94b6c6f1,89e1a6e1,2265.890055,Pakistan,Germany,bd:02:30:19:a4:4d,1/23/2025 6:17,0
34f0f40d-aaa,830c36aa,f7e6fa85,306.3327242,North Korea,USA,f7:3a:6e:04:1e:d6,2/5/2025 9:36,0
f29e8757-9df,534a9a86,891163a4,4507.335947,UK,Canada,03:03:f3:e7:51:6d,1/5/2025 19:49,0
10e4d9c5-6fb,65b5125f,8cc540dd,664.7850476,Nigeria,Pakistan,ee:0a:3f:dd:8f:59,1/21/2025 6:16,0
424e233e-f11,9cb63f32,e0d8fd56,4860.563351,Nigeria,Australia,4c:d0:54:c1:46:8c,1/1/2025 4:29,0
affb6f1e-d8d,2703084c,8b5b0c83,3933.899663,Germany,Pakistan,b9:2c:ce:bc:e0:28,3/18/2025 22:22,0
d0c77732-769,5101db8a,f86065e1,3591.995277,Germany,Germany,3f:4c:6f:92:39:58,2/27/2025 20:36,0
fa4a0af8-1a0,0356344a,8f7c0054,10896.08838,UAE,North Korea,b2:46:0a:f1:89:61,2/17/2025 23:30,1
bb21d759-6cb,a2e530ed,51a5a49a,4257.444577,Germany,Nigeria,c1:7d:a1:9e:61:ac,3/8/2025 21:47,0
c81a3134-615,d3eba1cd,c2bcc25f,2113.210478,Canada,UAE,c2:ab:df:e0:cc:b1,3/17/2025 4:48,0
b3e86ff1-e3b,e6159746,385bdd45,4909.874334,Germany,Canada,39:ca:9d:ff:4c:d3,2/19/2025 0:40,0
6befbf08-22c,24d0c9fa,4.85E+14,4439.062782,USA,USA,09:c5:d5:65:83:86,2/1/2025 12:23,0
ab587257-db8,285502a5,f7c13135,2710.578942,Canada,UK,07:6a:06:9f:52:e2,3/9/2025 8:53,0
ffd0c429-429,7cff26de,f520fd7e,22308.45751,North Korea,Nigeria,42:5a:e5:75:fe:1e,1/9/2025 10:10,1
06b8d721-b3d,e22597ac,46db5564,3054.065281,Canada,UK,3c:1b:ab:74:d2:6f,1/22/2025 15:18,0
95d702fa-15e,7902785e,d1fff01b,3938.946103,Canada,UK,69:1d:b4:ce:9e:89,3/10/2025 12:42,0
41e12dc6-012,6069e0b4,950e29f2,503.1457847,Russia,USA,45:28:2b:64:af:0e,3/8/2025 21:19,0
650effe9-9c0,5a651e50,3.28E+05,12130.62794,Russia,Russia,0c:bf:e4:e5:f5:4a,1/18/2025 4:04,1
23adc418-2da,ab65a3e1,571a2a85,1185.516215,Canada,Canada,cf:89:e4:81:d2:94,1/25/2025 15:59,0
3d30d0d7-29b,eaab1208,93797fdb,610.9593415,USA,UK,45:6e:0a:c3:87:1b,1/4/2025 7:38,0
d9ef5aeb-e05,8c441f3e,98502de5,3062.469267,USA,UK,eb:2f:9a:20:37:20,2/13/2025 22:41,0
651228b9-d4b,63e5c2db,03cab62d,3241.697369,UK,Germany,1e:98:1e:44:b6:8c,3/21/2025 9:59,0
81deb697-999,77e3f9fa,7caf6246,824.1450813,Australia,UK,ab:38:2d:b9:38:35,1/8/2025 10:07,0
f83464c0-4e0,84743638,a1c6a7d7,3639.655282,UAE,Canada,43:4b:ca:55:22:84,1/21/2025 10:10,0
25fbe7f0-771,b60f1b35,56fd822e,279.2507027,UK,USA,c7:f9:21:cc:69:48,1/5/2025 8:04,0
bfdc153a-02c,88a7680d,7b6f8283,2587.941239,North Korea,UK,74:72:3b:b8:b9:e8,2/4/2025 6:51,0
c759951e-01d,afeab413,057abf2e,1648.354491,USA,USA,29:1f:62:30:d0:68,1/8/2025 10:59,0
ab78d4bd-8f6,106d2b22,8cc540dd,622.6090154,UK,USA,03:6b:e5:72:e3:90,1/26/2025 9:55,0
bee9b433-027,b1efa23c,852c823f,986.7663821,UK,Australia,4e:1f:7d:45:ea:5b,2/27/2025 23:42,0
